Problem,Dataset,dlv,clingo bnb,aspirena,mingo,maxmodels,ezsmt,acyc2solver_mip_fvs,acyc2solver_mip_ve,clingo usc,acyc2solver_mip_ve_smodels_gurobi,acyc2solver_mip_fvs_smodels_gurobi
stacker-crane,p10,3.05,19.16,4.12,11.77,13.13,600.01,5.21,32.01,0.07,6.72,1.28
visit-all,p1,0.28,0.13,1.94,3.96,0.38,9.82,1.35,1.09,0.13,0.22,0.22
visit-all,p2,0.53,0.18,3.96,1.94,0.39,8.52,1.34,1.29,0.07,0.22,0.22
visit-all,p3,0.07,0.13,2.55,6.71,0.33,5.55,2.95,2.84,0.07,0.17,0.17
visit-all,p4,0.23,0.12,3.26,12.85,0.32,9.11,12.24,12.2,0.28,0.22,0.22
visit-all,p5,42.27,16.26,18.32,65.88,5.4,224.57,8.47,8.57,12.98,0.97,0.92
visit-all,p6,0.12,0.08,0.9,0.44,0.14,21.97,0.27,0.33,0.07,0.12,0.12
visit-all,p7,0.13,0.04,0.19,0.43,0.13,21.82,0.27,0.33,0.05,0.12,0.12
visit-all,p8,55.87,6.56,10.68,59.02,10.06,181.99,30.38,30.58,8.56,1.07,1.07
visit-all,p9,600.02,600.02,178.46,597.41,136.32,600.02,600.02,421.91,529.17,8.53,8.49
visit-all,p10,600.01,344.22,21.07,473.94,105.18,600.01,145.22,148.6,273.5,8.75,8.74
